[60.0, ' State-gov', 194252.0, ' Masters', 14.0, ' Married-civ-spouse', ' Exec-managerial', ' Wife', ' White', ' Female', 3103.0, 0.0, 40.0, ' United-States', ' >50K']
[34.0, ' Local-gov', 230420.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[35.0, ' Private', 87556.0, ' Masters', 14.0, ' Never-married', ' Prof-specialty', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 45.0, ' United-States', ' >50K']
[23.0, ' ?', 164574.0, ' Assoc-acdm', 12.0, ' Never-married', ' ?', ' Own-child', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[62.0, ' Private', 210464.0, ' HS-grad', 9.0, ' Never-married', ' Other-service', ' Other-relative', ' Black', ' Female', 0.0, 0.0, 38.0, ' United-States', ' <=50K']
[19.0, ' Private', 87497.0, ' 11th', 7.0, ' Never-married', ' Transport-moving', ' Other-relative', ' White', ' Male', 0.0, 0.0, 10.0, ' United-States', ' <=50K']
[53.0, ' Private', 228500.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Machine-op-inspct', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[55.0, ' Private', 145214.0, ' Some-college', 10.0, ' Divorced', ' Adm-clerical', ' Unmarried', ' White', ' Female', 4650.0, 0.0, 20.0, ' United-States', ' <=50K']
[28.0, ' Private', 173110.0, ' HS-grad', 9.0, ' Never-married', ' Exec-managerial', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[41.0, ' Self-emp-inc', 177905.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 7688.0, 0.0, 70.0, ' United-States', ' >50K']
[47.0, ' Private', 99911.0, ' 12th', 8.0, ' Married-spouse-absent', ' Exec-managerial', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 55.0, ' United-States', ' <=50K']
[48.0, ' Self-emp-not-inc', 324173.0, ' Assoc-voc', 11.0, ' Divorced', ' Exec-managerial', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 50.0, ' United-States', ' <=50K']
[37.0, ' Private', 188774.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Adm-clerical', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[20.0, ' Private', 50648.0, ' HS-grad', 9.0, ' Never-married', ' Handlers-cleaners', ' Own-child', ' White', ' Male', 0.0, 0.0, 35.0, ' United-States', ' <=50K']
[23.0, ' Private', 199908.0, ' 11th', 7.0, ' Married-civ-spouse', ' Transport-moving', ' Husband', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' <=50K']
[55.0, ' Self-emp-not-inc', 141409.0, ' 10th', 6.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 7688.0, 0.0, 50.0, ' United-States', ' >50K']
[25.0, ' Private', 165622.0, ' Masters', 14.0, ' Never-married', ' Sales', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 55.0, ' United-States', ' <=50K']
[32.0, ' Private', 153963.0, ' HS-grad', 9.0, ' Divorced', ' Other-service', ' Unmarried', ' White', ' Female', 0.0, 0.0, 35.0, ' United-States', ' <=50K']
[47.0, ' Private', 287480.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[30.0, ' Private', 116508.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' Germany', ' <=50K']
[51.0, ' Private', 40641.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 60.0, ' United-States', ' >50K']
[55.0, ' Federal-gov', 31728.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Adm-clerical', ' Wife', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[29.0, ' Self-emp-not-inc', 169662.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[56.0, ' Private', 178033.0, ' Some-college', 10.0, ' Widowed', ' Exec-managerial', ' Not-in-family', ' White', ' Male', 4416.0, 0.0, 60.0, ' United-States', ' <=50K']
[57.0, ' Private', 204816.0, ' Masters', 14.0, ' Divorced', ' Prof-specialty', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 30.0, ' United-States', ' <=50K']
[23.0, ' Private', 206861.0, ' Some-college', 10.0, ' Never-married', ' Tech-support', ' Own-child', ' White', ' Male', 0.0, 0.0, 25.0, ' United-States', ' <=50K']
[68.0, ' ?', 192052.0, ' Some-college', 10.0, ' Married-civ-spouse', ' ?', ' Wife', ' White', ' Female', 0.0, 2457.0, 40.0, ' United-States', ' <=50K']
[48.0, ' Private', 97176.0, ' HS-grad', 9.0, ' Divorced', ' Adm-clerical', ' Other-relative', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[55.0, ' Private', 156089.0, ' Some-college', 10.0, ' Widowed', ' Adm-clerical', ' Unmarried', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[30.0, ' Private', 189759.0, ' Bachelors', 13.0, ' Never-married', ' Sales', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[39.0, ' Federal-gov', 376455.0, ' Prof-school', 15.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 1887.0, 50.0, ' United-States', ' >50K']
[39.0, ' Private', 191161.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[32.0, ' Private', 207937.0, ' Some-college', 10.0, ' Never-married', ' Craft-repair', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[46.0, ' Private', 152249.0, ' HS-grad', 9.0, ' Married-spouse-absent', ' Other-service', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 35.0, ' Mexico', ' <=50K']
[42.0, ' ?', 175935.0, ' HS-grad', 9.0, ' Separated', ' ?', ' Unmarried', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[32.0, ' Private', 173351.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 48.0, ' United-States', ' <=50K']
[59.0, ' Private', 162136.0, ' Some-college', 10.0, ' Divorced', ' Machine-op-inspct', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 56.0, ' United-States', ' <=50K']
[56.0, ' Private', 202220.0, ' Some-college', 10.0, ' Separated', ' Tech-support', ' Unmarried', ' Black', ' Female', 0.0, 0.0, 38.0, ' United-States', ' <=50K']
[33.0, ' Private', 35378.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Sales', ' Wife', ' White', ' Female', 0.0, 0.0, 45.0, ' United-States', ' >50K']
[27.0, ' Private', 360097.0, ' HS-grad', 9.0, ' Never-married', ' Handlers-cleaners', ' Not-in-family', ' Black', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[20.0, ' Private', 246250.0, ' Some-college', 10.0, ' Never-married', ' Craft-repair', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[21.0, ' Private', 186648.0, ' 10th', 6.0, ' Separated', ' Machine-op-inspct', ' Own-child', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[35.0, ' ?', 476573.0, ' HS-grad', 9.0, ' Never-married', ' ?', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 4.0, ' United-States', ' <=50K']
[42.0, ' Private', 169995.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 45.0, ' United-States', ' <=50K']
[40.0, ' Private', 163342.0, ' HS-grad', 9.0, ' Never-married', ' Adm-clerical', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 70.0, ' United-States', ' <=50K']
[43.0, ' Private', 174575.0, ' Some-college', 10.0, ' Divorced', ' Prof-specialty', ' Unmarried', ' White', ' Male', 0.0, 0.0, 45.0, ' United-States', ' <=50K']
[30.0, ' Private', 296509.0, ' 7th-8th', 4.0, ' Separated', ' Farming-fishing', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 45.0, ' Mexico', ' <=50K']
[35.0, ' Private', 117381.0, ' Bachelors', 13.0, ' Divorced', ' Sales', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[33.0, ' Self-emp-not-inc', 99761.0, ' Bachelors', 13.0, ' Never-married', ' Other-service', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 15.0, ' United-States', ' <=50K']
[64.0, ' Local-gov', 158412.0, ' HS-grad', 9.0, ' Widowed', ' Adm-clerical', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[26.0, ' Private', 322547.0, ' Bachelors', 13.0, ' Never-married', ' Prof-specialty', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 45.0, ' United-States', ' <=50K']
[64.0, ' ?', 257790.0, ' HS-grad', 9.0, ' Divorced', ' ?', ' Unmarried', ' White', ' Female', 0.0, 0.0, 38.0, ' United-States', ' <=50K']
[31.0, ' Private', 179013.0, ' HS-grad', 9.0, ' Separated', ' Craft-repair', ' Not-in-family', ' Black', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[33.0, ' Private', 150154.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[22.0, ' Self-emp-inc', 269583.0, ' 7th-8th', 4.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 2580.0, 0.0, 40.0, ' United-States', ' <=50K']
[32.0, ' Self-emp-not-inc', 70985.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Farming-fishing', ' Husband', ' White', ' Male', 4064.0, 0.0, 40.0, ' United-States', ' <=50K']
[25.0, ' Self-emp-inc', 454934.0, ' Some-college', 10.0, ' Never-married', ' Sales', ' Own-child', ' White', ' Female', 0.0, 0.0, 35.0, ' United-States', ' <=50K']
[43.0, ' Local-gov', 163434.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Protective-serv', ' Husband', ' White', ' Male', 0.0, 0.0, 55.0, ' United-States', ' >50K']
[44.0, ' Self-emp-not-inc', 103111.0, ' Prof-school', 15.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 60.0, ' United-States', ' >50K']
[26.0, ' Local-gov', 273399.0, ' Some-college', 10.0, ' Never-married', ' Protective-serv', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' Peru', ' <=50K']
[39.0, ' Private', 115289.0, ' Assoc-acdm', 12.0, ' Married-civ-spouse', ' Tech-support', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' France', ' >50K']
[33.0, ' Private', 194901.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 45.0, ' United-States', ' <=50K']
[22.0, ' Private', 310380.0, ' HS-grad', 9.0, ' Never-married', ' Adm-clerical', ' Unmarried', ' Black', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[24.0, ' Private', 456367.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[19.0, ' ?', 26620.0, ' Some-college', 10.0, ' Never-married', ' ?', ' Own-child', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[49.0, ' Private', 84013.0, ' HS-grad', 9.0, ' Divorced', ' Other-service', ' Unmarried', ' White', ' Female', 0.0, 0.0, 35.0, ' United-States', ' <=50K']
[51.0, ' Private', 249644.0, ' Some-college', 10.0, ' Divorced', ' Craft-repair', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 48.0, ' United-States', ' >50K']
[47.0, ' Private', 76612.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' <=50K']
[34.0, ' Private', 210736.0, ' Some-college', 10.0, ' Separated', ' Adm-clerical', ' Unmarried', ' Black', ' Female', 0.0, 0.0, 40.0, ' ?', ' <=50K']
[20.0, ' Private', 263612.0, ' Some-college', 10.0, ' Never-married', ' Adm-clerical', ' Own-child', ' Black', ' Female', 0.0, 0.0, 40.0, ' Haiti', ' <=50K']
[56.0, ' Private', 81220.0, ' Some-college', 10.0, ' Never-married', ' Adm-clerical', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 40.0, ' Canada', ' <=50K']
[27.0, ' Private', 466224.0, ' Some-college', 10.0, ' Never-married', ' Sales', ' Not-in-family', ' Black', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[24.0, ' Private', 141040.0, ' Some-college', 10.0, ' Never-married', ' Adm-clerical', ' Own-child', ' Black', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[44.0, ' Private', 116632.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[21.0, ' Private', 197997.0, ' Some-college', 10.0, ' Never-married', ' Adm-clerical', ' Own-child', ' White', ' Male', 0.0, 0.0, 30.0, ' United-States', ' <=50K']
[43.0, ' Private', 234220.0, ' HS-grad', 9.0, ' Divorced', ' Machine-op-inspct', ' Own-child', ' White', ' Female', 0.0, 0.0, 40.0, ' Cuba', ' <=50K']
[62.0, ' State-gov', 33142.0, ' Masters', 14.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 60.0, ' United-States', ' >50K']
[21.0, ' Private', 164920.0, ' Some-college', 10.0, ' Never-married', ' Other-service', ' Own-child', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[33.0, ' Private', 318982.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 45.0, ' United-States', ' >50K']
[58.0, ' Local-gov', 311409.0, ' Masters', 14.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' Black', ' Male', 7688.0, 0.0, 30.0, ' United-States', ' >50K']
[29.0, ' Private', 112754.0, ' Some-college', 10.0, ' Never-married', ' Craft-repair', ' Own-child', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[39.0, ' Private', 232854.0, ' HS-grad', 9.0, ' Divorced', ' Transport-moving', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[32.0, ' Private', 111836.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Other-service', ' Husband', ' Black', ' Male', 0.0, 0.0, 50.0, ' United-States', ' <=50K']
[73.0, ' Local-gov', 181902.0, ' Masters', 14.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 10.0, ' Poland', ' >50K']
[55.0, ' Private', 106740.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[55.0, ' Private', 139843.0, ' HS-grad', 9.0, ' Divorced', ' Exec-managerial', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 60.0, ' United-States', ' <=50K']
[48.0, ' Federal-gov', 110457.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[32.0, ' Private', 158002.0, ' Some-college', 10.0, ' Never-married', ' Machine-op-inspct', ' Other-relative', ' White', ' Male', 0.0, 0.0, 55.0, ' Ecuador', ' <=50K']
[41.0, ' Private', 182567.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' ?', ' >50K']
[48.0, ' Private', 240231.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' Asian-Pac-Islander', ' Male', 0.0, 0.0, 40.0, ' Japan', ' >50K']
[31.0, ' Private', 179186.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Sales', ' Husband', ' Black', ' Male', 0.0, 0.0, 90.0, ' United-States', ' >50K']
[26.0, ' Private', 161007.0, ' Assoc-voc', 11.0, ' Married-civ-spouse', ' Handlers-cleaners', ' Husband', ' White', ' Male', 0.0, 0.0, 80.0, ' United-States', ' <=50K']
[21.0, ' Private', 347292.0, ' HS-grad', 9.0, ' Never-married', ' Craft-repair', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[36.0, ' Private', 526968.0, ' 10th', 6.0, ' Divorced', ' Exec-managerial', ' Unmarried', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[50.0, ' Self-emp-not-inc', 198581.0, ' Prof-school', 15.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' >50K']
[19.0, ' Private', 175507.0, ' HS-grad', 9.0, ' Never-married', ' Other-service', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 30.0, ' United-States', ' <=50K']
[43.0, ' Private', 173316.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[20.0, ' Private', 115824.0, ' 11th', 7.0, ' Married-civ-spouse', ' Handlers-cleaners', ' Husband', ' White', ' Male', 0.0, 1573.0, 40.0, ' United-States', ' <=50K']
[41.0, ' Private', 242089.0, ' Masters', 14.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 45.0, ' United-States', ' <=50K']
[32.0, ' Private', 303942.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Machine-op-inspct', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[37.0, ' Private', 348739.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 45.0, ' United-States', ' >50K']
[60.0, ' Self-emp-inc', 90915.0, ' 11th', 7.0, ' Married-civ-spouse', ' Transport-moving', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[20.0, ' Private', 180052.0, ' Some-college', 10.0, ' Never-married', ' Sales', ' Own-child', ' White', ' Male', 0.0, 0.0, 20.0, ' United-States', ' <=50K']
[20.0, ' Private', 165097.0, ' HS-grad', 9.0, ' Never-married', ' Craft-repair', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[28.0, ' Private', 227778.0, ' Assoc-voc', 11.0, ' Never-married', ' Other-service', ' Other-relative', ' Black', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[41.0, ' Private', 176452.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Tech-support', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' Peru', ' <=50K']
[51.0, ' Private', 44000.0, ' Masters', 14.0, ' Married-civ-spouse', ' Prof-specialty', ' Wife', ' White', ' Female', 99999.0, 0.0, 50.0, ' United-States', ' >50K']
[40.0, ' Private', 53727.0, ' Masters', 14.0, ' Never-married', ' Sales', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' >50K']
[50.0, ' Private', 213296.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 48.0, ' United-States', ' >50K']
[56.0, ' Private', 192869.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Machine-op-inspct', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[36.0, ' Private', 111128.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 48.0, ' United-States', ' >50K']
[52.0, ' Private', 115851.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[25.0, ' Private', 312966.0, ' 9th', 5.0, ' Separated', ' Handlers-cleaners', ' Other-relative', ' White', ' Male', 0.0, 0.0, 40.0, ' El-Salvador', ' <=50K']
[46.0, ' Self-emp-not-inc', 32825.0, ' HS-grad', 9.0, ' Separated', ' Craft-repair', ' Unmarried', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[46.0, ' Private', 111979.0, ' 7th-8th', 4.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 47.0, ' United-States', ' <=50K']
[31.0, ' Private', 209538.0, ' 10th', 6.0, ' Married-civ-spouse', ' Machine-op-inspct', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[51.0, ' Federal-gov', 140516.0, ' Masters', 14.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[24.0, ' Private', 403865.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 56.0, ' United-States', ' <=50K']
[57.0, ' Private', 116878.0, ' 1st-4th', 2.0, ' Married-civ-spouse', ' Handlers-cleaners', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' Italy', ' <=50K']
[36.0, ' Private', 188563.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 5178.0, 0.0, 50.0, ' United-States', ' >50K']
[34.0, ' Private', 314375.0, ' Assoc-voc', 11.0, ' Divorced', ' Craft-repair', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[37.0, ' Local-gov', 233825.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Prof-specialty', ' Wife', ' White', ' Female', 15024.0, 0.0, 50.0, ' United-States', ' >50K']
[49.0, ' Private', 94638.0, ' HS-grad', 9.0, ' Separated', ' Adm-clerical', ' Unmarried', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[62.0, ' Self-emp-not-inc', 71467.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 55.0, ' United-States', ' >50K']
[49.0, ' Local-gov', 120451.0, ' 10th', 6.0, ' Separated', ' Other-service', ' Unmarried', ' Black', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[20.0, ' Federal-gov', 340217.0, ' HS-grad', 9.0, ' Never-married', ' Adm-clerical', ' Own-child', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[30.0, ' Private', 349148.0, ' Bachelors', 13.0, ' Never-married', ' Prof-specialty', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 70.0, ' United-States', ' <=50K']
[22.0, ' Private', 180449.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Handlers-cleaners', ' Husband', ' White', ' Male', 0.0, 0.0, 28.0, ' United-States', ' <=50K']
[72.0, ' Private', 195184.0, ' HS-grad', 9.0, ' Widowed', ' Priv-house-serv', ' Unmarried', ' White', ' Female', 0.0, 0.0, 12.0, ' Cuba', ' <=50K']
[34.0, ' Private', 160449.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Machine-op-inspct', ' Husband', ' White', ' Male', 0.0, 0.0, 44.0, ' United-States', ' >50K']
[42.0, ' Private', 254773.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Exec-managerial', ' Wife', ' Black', ' Female', 0.0, 0.0, 50.0, ' United-States', ' >50K']
[67.0, ' Private', 35015.0, ' Masters', 14.0, ' Never-married', ' Prof-specialty', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 99.0, ' United-States', ' <=50K']
[32.0, ' Private', 343789.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Machine-op-inspct', ' Husband', ' White', ' Male', 5013.0, 0.0, 55.0, ' United-States', ' <=50K']
[53.0, ' Private', 104461.0, ' Bachelors', 13.0, ' Never-married', ' Other-service', ' Not-in-family', ' White', ' Male', 8614.0, 0.0, 50.0, ' Italy', ' >50K']
[45.0, ' Private', 246891.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 0.0, 1902.0, 40.0, ' United-States', ' >50K']
[24.0, ' Private', 23438.0, ' Assoc-voc', 11.0, ' Never-married', ' Adm-clerical', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 30.0, ' United-States', ' >50K']
[42.0, ' Private', 319588.0, ' Bachelors', 13.0, ' Married-spouse-absent', ' Transport-moving', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 60.0, ' United-States', ' <=50K']
[23.0, ' Private', 147253.0, ' Assoc-acdm', 12.0, ' Never-married', ' Sales', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[26.0, ' Self-emp-inc', 366662.0, ' HS-grad', 9.0, ' Never-married', ' Sales', ' Own-child', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' <=50K']
[30.0, ' Private', 197558.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Handlers-cleaners', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[24.0, ' State-gov', 147253.0, ' Some-college', 10.0, ' Never-married', ' Tech-support', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' <=50K']
[40.0, ' Private', 320451.0, ' Doctorate', 16.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' Asian-Pac-Islander', ' Male', 0.0, 1977.0, 45.0, ' Hong', ' >50K']
[28.0, ' ?', 147471.0, ' HS-grad', 9.0, ' Divorced', ' ?', ' Own-child', ' White', ' Female', 0.0, 0.0, 10.0, ' United-States', ' <=50K']
[50.0, ' Private', 228057.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Transport-moving', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[18.0, ' Private', 240747.0, ' HS-grad', 9.0, ' Never-married', ' Machine-op-inspct', ' Own-child', ' White', ' Female', 0.0, 0.0, 40.0, ' Dominican-Republic', ' <=50K']
[42.0, ' Private', 374790.0, ' 9th', 5.0, ' Divorced', ' Craft-repair', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[31.0, ' Self-emp-not-inc', 145162.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 60.0, ' ?', ' >50K']
[26.0, ' Private', 34803.0, ' HS-grad', 9.0, ' Never-married', ' Exec-managerial', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[35.0, ' ?', 202683.0, ' Bachelors', 13.0, ' Never-married', ' ?', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
